engine_cc,horsepower,weight_kg,fuel_type,kmpl,road_type,avg_speed_kmph,ac_on,tyre_psi,traffic_level,payload_kg
307.0,130.0,1587.3120000000001,Petrol,7.6499999999999995,highway,84.60697867748692,1,32.9,medium,81.22705835151689
350.0,165.0,1672.929,Petrol,6.375,city,30.33176027277308,1,33.1,low,69.8307570327745
318.0,150.0,1556.508,Petrol,7.6499999999999995,highway,95.23833305996261,0,31.2,medium,139.24488066418502
304.0,150.0,1555.1490000000001,Petrol,6.8,highway,86.66808146522915,1,35.8,high,193.71984105976247
302.0,140.0,1562.397,Petrol,7.225,city,31.92553155650122,1,29.3,low,111.60937359208275
429.0,198.0,1966.473,Petrol,6.375,hilly,45.20865517397975,1,33.4,low,118.27479511116074
454.0,220.0,1972.362,Petrol,5.95,highway,102.50641071664104,0,32.9,medium,80.17177963575799
440.0,215.0,1953.336,Petrol,5.95,highway,94.47604536874874,1,32.0,low,168.19091629029217
455.0,225.0,2004.525,Petrol,5.95,city,40.30222937115457,1,32.8,high,141.19696546367555
390.0,190.0,1744.05,Petrol,6.375,city,36.06709752395163,1,30.0,low,107.75570031236028
383.0,170.0,1614.039,Petrol,6.375,city,28.071946099375673,1,30.4,low,148.01469223611292
340.0,160.0,1634.877,Petrol,5.95,hilly,52.06253698146179,0,32.5,low,186.0759991073885
400.0,150.0,1703.733,Petrol,6.375,highway,87.3834772854276,0,30.6,medium,105.11682962855699
455.0,225.0,1397.958,Petrol,5.95,highway,92.34656499065889,0,31.1,medium,116.62820245990925
113.0,95.0,1074.516,Petrol,10.2,city,35.041411176749115,1,34.8,high,194.71352891945293
198.0,95.0,1283.349,Petrol,9.35,city,37.71089977522943,1,35.3,medium,164.76009779917328
199.0,97.0,1256.622,Petrol,7.6499999999999995,highway,78.72529156283201,1,31.1,low,109.48483515009443
200.0,85.0,1171.911,Petrol,8.924999999999999,city,40.421677744818616,1,30.8,low,76.3274884531931
97.0,88.0,964.89,Petrol,11.475,highway,76.51464573440295,0,27.8,medium,123.68238670925018
97.0,46.0,831.255,Petrol,11.049999999999999,highway,76.88000891196056,0,32.6,medium,149.63468441492606
110.0,87.0,1210.416,Petrol,10.625,highway,67.17587245961953,1,34.1,low,128.89051201295018
107.0,90.0,1100.79,Petrol,10.2,city,31.968825635871404,0,31.5,medium,92.48941069612542
104.0,95.0,1075.875,Petrol,10.625,hilly,55.2507697383802,0,33.6,low,94.50186593709444
121.0,113.0,1012.0020000000001,Petrol,11.049999999999999,highway,97.57462115127619,1,33.9,high,165.20094931348225
199.0,90.0,1199.544,Petrol,8.924999999999999,highway,89.51133650488643,0,34.8,low,108.74271811686461
360.0,215.0,2090.5950000000003,Petrol,4.25,city,43.55468714552414,0,32.9,medium,135.0766722187817
307.0,200.0,1982.328,Petrol,4.25,city,31.075537372770942,1,33.4,high,140.1434219683831
318.0,210.0,1985.046,Petrol,4.675,city,40.18163541743915,1,32.2,high,82.33892581916939
304.0,193.0,2143.596,Petrol,3.8249999999999997,city,37.28365253252748,0,33.1,high,84.15240592515443
97.0,88.0,964.89,Petrol,11.475,highway,102.14927050396908,0,30.0,low,73.09320278530348
140.0,90.0,1025.592,Petrol,11.9,highway,100.86317193155472,1,32.8,medium,116.98909248656062
113.0,95.0,1009.284,Petrol,10.625,hilly,52.082004468084634,0,31.5,low,109.54320769467526
98.0,,926.8380000000001,Petrol,10.625,city,36.803197326020296,0,34.4,high,93.5138507359128
232.0,100.0,1193.202,Petrol,8.075,city,42.47095937546293,1,37.7,medium,70.09697551142838
225.0,105.0,1557.867,Petrol,6.8,city,37.85612793740558,0,36.3,medium,135.31682414199392
250.0,100.0,1508.037,Petrol,7.225,city,31.150655265557344,1,34.4,low,62.33044531717
250.0,88.0,1495.806,Petrol,8.075,city,38.7180974798288,1,32.6,low,116.16392031510135
232.0,100.0,1489.464,Petrol,7.6499999999999995,city,26.2617122234127,0,32.9,medium,181.67282771172276
350.0,165.0,1906.6770000000001,Petrol,5.95,city,33.06707070531418,1,33.2,high,68.09627823896719
400.0,175.0,2022.192,Petrol,5.95,highway,93.52032031814788,1,31.9,low,100.57216785674856
351.0,153.0,1881.762,Petrol,5.95,city,38.29157590878554,1,34.6,low,163.06221312482091
318.0,150.0,1855.488,Petrol,5.95,highway,87.15313596834606,0,33.7,high,108.48612767055045
383.0,180.0,2244.6150000000002,Petrol,5.1,highway,104.81631852045395,1,29.4,low,106.21718411790673
400.0,170.0,2149.938,Petrol,5.5249999999999995,city,33.193169137131896,0,34.0,low,123.8417426387296
400.0,175.0,2328.42,Petrol,5.5249999999999995,highway,77.22456998265521,0,32.7,medium,146.40062625837606
258.0,110.0,1341.786,Petrol,7.6499999999999995,highway,91.51175482675431,1,29.5,medium,144.51781163169022
140.0,72.0,1090.824,Petrol,9.35,city,34.025818422564605,0,36.4,low,52.37439060989195
250.0,100.0,1486.746,Petrol,8.075,city,32.483985843186,0,31.7,low,108.47559361401159
250.0,88.0,1421.967,Petrol,7.6499999999999995,highway,101.5858324957589,1,36.1,low,137.6654395534474
122.0,86.0,1005.6600000000001,Petrol,9.775,city,40.84637810476389,1,31.2,medium,91.09557881715435
116.0,90.0,961.719,Petrol,11.9,city,30.203208080588194,0,32.4,low,120.59809367097522
79.0,70.0,939.522,Petrol,12.75,city,27.517080510812058,0,31.7,low,23.968830371265824
88.0,76.0,935.445,Petrol,12.75,highway,87.44828236084439,1,32.5,high,90.65824030784687
71.0,65.0,803.169,Petrol,13.174999999999999,highway,97.46803867049842,1,34.7,low,145.63320620287885
72.0,69.0,730.6890000000001,Petrol,14.875,highway,81.9253358785634,1,33.7,low,105.50401484531488
97.0,60.0,830.802,Petrol,11.475,highway,102.93040115316573,0,30.8,medium,138.57212153695795
91.0,70.0,885.615,Petrol,11.049999999999999,city,40.23264750765933,1,31.0,medium,71.41257049985607
113.0,95.0,1031.934,Petrol,10.2,highway,99.80689309702015,0,33.6,low,38.742799257230786
97.5,80.0,963.078,Petrol,10.625,city,47.287393612521264,0,31.8,medium,190.6158455567185
97.0,54.0,1021.062,Petrol,9.775,city,31.790189856827645,1,31.2,low,101.19268996630137
140.0,90.0,1090.824,Petrol,8.5,highway,91.24149419287562,0,32.4,high,126.730072749187
122.0,86.0,1008.378,Petrol,8.924999999999999,city,37.4677818438719,0,32.2,medium,57.979029902564264
350.0,165.0,1936.122,Petrol,5.5249999999999995,highway,85.89198760325694,1,30.1,low,112.4651530501217
400.0,175.0,1986.405,Petrol,5.95,highway,89.14458256025569,1,32.1,medium,101.0293260744325
318.0,150.0,1873.155,Petrol,6.375,highway,81.68363782547297,1,35.6,medium,114.51749202121994
351.0,153.0,1870.4370000000001,Petrol,5.95,highway,103.59335722578791,0,29.9,medium,100.01336351992695
304.0,150.0,1663.416,Petrol,7.225,highway,79.94477618605806,0,33.1,low,169.69030417525323
429.0,208.0,2098.7490000000003,Petrol,4.675,city,33.157143187426975,0,32.3,medium,112.51276388630612
350.0,155.0,2039.406,Petrol,5.5249999999999995,city,39.241921625495095,1,34.5,low,140.83950701684932
350.0,160.0,2018.568,Petrol,5.1,city,41.35615207045521,0,36.3,high,72.57609644947394
400.0,190.0,2003.1660000000002,Petrol,5.5249999999999995,city,42.469584640591755,0,35.9,low,111.59971846030528
70.0,97.0,1055.49,Petrol,8.075,city,29.13527637416098,0,29.6,medium,146.77643698225614
304.0,150.0,1763.076,Petrol,6.375,highway,97.9567583269411,1,31.6,medium,159.9878551635102
307.0,130.0,1856.394,Petrol,5.5249999999999995,city,38.54716405677083,1,32.6,medium,131.05248148680894
302.0,140.0,1945.182,Petrol,5.5249999999999995,city,29.566325428738878,1,36.6,high,121.28293946406029
318.0,150.0,1846.881,Petrol,5.95,city,28.452118835549847,1,28.3,low,84.20044370918782
121.0,112.0,1328.6490000000001,Petrol,7.6499999999999995,city,34.86794562386388,0,33.2,low,165.73430920370816
121.0,76.0,1137.483,Petrol,9.35,highway,115.94161402413086,1,35.4,high,139.56899096265556
120.0,87.0,1349.487,Petrol,8.924999999999999,highway,104.63084389993246,1,31.4,medium,64.78645367528608
96.0,69.0,991.6170000000001,Petrol,11.049999999999999,highway,106.52156613357826,0,36.6,high,3.9903518002873994
122.0,86.0,1084.935,Petrol,9.35,highway,74.64749474732768,1,32.1,low,139.46400708439012
97.0,92.0,1036.464,Petrol,11.9,city,32.691760734475515,1,34.1,medium,138.80036554749805
120.0,97.0,1135.218,Petrol,9.775,highway,96.28954775620451,1,36.2,low,80.867504472344
98.0,80.0,980.292,Petrol,11.9,city,37.59298183124708,1,34.2,medium,122.37975273359517
97.0,88.0,951.3000000000001,Petrol,11.475,city,26.555925255423226,1,31.7,low,185.83913410555945
350.0,175.0,1857.3,Petrol,5.5249999999999995,city,42.33059599436113,1,36.1,medium,83.2996360526432
304.0,150.0,1663.416,Petrol,5.95,highway,98.69175988440793,1,36.0,low,43.87414592319821
350.0,145.0,1806.564,Petrol,5.5249999999999995,city,35.78475812304989,1,33.4,high,91.66003184897603
302.0,137.0,1831.026,Petrol,5.95,city,40.2871663471031,0,33.9,low,118.95412057294969
318.0,150.0,1710.981,Petrol,6.375,highway,84.59906730854631,0,31.8,low,158.6516582535828
429.0,198.0,2243.256,Petrol,5.1,city,39.40965650220709,1,35.1,low,96.60025145906496
400.0,150.0,2022.192,Petrol,5.5249999999999995,highway,92.03305086642771,1,29.5,low,149.23888100981696
